system:index,CellCode,LATITUDE,LONGITUDE,PLOTID,batch,constant,country,stratum,.geo
00000000000000000851_0,78858557,48.0545022436372,16.7200504546836,a16-7200504546836_48-0545022436372,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e7f_0,78858557,48.07797169367608,16.45662480814515,a16-45662480814515_48-07797169367608,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a6_0,82819378,47.27324925486253,12.38151954562726,a12-38151954562726_47-27324925486253,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c40_0,82819378,46.8194607652445,13.45831717180839,a13-45831717180839_46-8194607652445,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000026df_0,82819378,46.86932774056019,12.68451581184614,a12-68451581184614_46-86932774056019,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b00_0,86531882,47.32944645709542,9.64352293405054,a9-64352293405054_47-32944645709542,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001111_0,88898784,48.26455456129856,15.44467646804332,a15-44467646804332_48-26455456129856,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011b9_0,88898784,48.22433380117284,15.75886683942393,a15-75886683942393_48-22433380117284,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012f9_0,88898784,48.40636302017733,15.81359579793652,a15-81359579793652_48-40636302017733,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c5_0,88898784,48.14308681137222,16.40962584628127,a16-40962584628127_48-14308681137222,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001f1a_0,88898784,48.34756045423237,15.75496652543975,a15-75496652543975_48-34756045423237,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002191_0,88898784,48.72785152307793,15.39386338256792,a15-39386338256792_48-72785152307793,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c2_0,13125652,48.36831865055325,13.49500151853895,a13-49500151853895_48-36831865055325,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000193a_0,16451981,47.12025073494348,11.44815467572394,a11-44815467572394_47-12025073494348,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c6e_0,18079518,47.2177015930504,10.72495930370792,a10-72495930370792_47-2177015930504,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f6e_0,38676589,48.19614353937884,14.54059825496932,a14-54059825496932_48-19614353937884,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001054_0,38676589,48.01828649748362,14.01903810138275,a14-01903810138275_48-01828649748362,countries,2,AUT,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}"
