system:index,CellCode,area,country,stratum,.geo
000000000000000000bd_5,11846360,299.86749267578125,SWE,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,11856822,9428361987.662369,ESP,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_1,11856822,391268785.5155611,ESP,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_2,11856822,11883311.576578388,ESP,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_3,11856822,2411820.449804508,ESP,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_4,11856822,5183896.85318427,ESP,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_5,11856822,134644.91822052002,ESP,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,11867513,3367141354.8358903,DEU,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_1,11867513,3883723954.414922,DEU,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_2,11867513,18173945.545502335,DEU,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_3,11867513,10387481.544297673,DEU,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_4,11867513,12196579.819054903,DEU,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_5,11867513,5909066.595432296,DEU,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,11936211,9078721332.877224,TUR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_1,11936211,686234352.0452439,TUR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_2,11936211,17564712.90332695,TUR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_3,11936211,6884077.433795107,TUR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_4,11936211,11529253.530317,TUR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_5,11936211,3176782.8630920113,TUR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,11998344,76117445.38685794,BGR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_1,11998344,224034636.71195024,BGR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_2,11998344,710145.8588631724,BGR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_3,11998344,205484.23362582337,BGR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_4,11998344,427378.82987976074,BGR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_5,11998344,33313.90442657471,BGR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,11998344,21619521.311219253,ROU,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_1,11998344,39481396.78492791,ROU,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_2,11998344,780551.1431588862,ROU,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_3,11998344,253890.88060742547,ROU,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_4,11998344,835971.645013697,ROU,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_5,11998344,159116.01241215726,ROU,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,12021002,4988542453.0254345,ISL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_1,12021002,8829194.08541948,ISL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_2,12021002,458831.0251032212,ISL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
