system:index,CellCode,area,stratum,type,.geo
2_0,15018310,33426825.569191128,651,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15018310,140682.561088562,691,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15324663,4959931440.690988,646,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15324663,2163303567.057195,661,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,15324663,1831928530.447294,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15324663,9332864.284024255,646,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15324663,2055723.1626434329,661,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,15324663,2688873.8549111458,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15342705,5779815273.98422,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15342705,9996.38013458252,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15384808,1717966370.4310424,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15384808,8210977453.093505,799,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15384808,585062.7695972219,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15384808,22494456.29865887,799,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15446147,9917091776.111889,674,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15446147,18462489.308196004,674,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15458051,3650257315.8649106,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15458051,15184384.523483817,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15514189,9287725382.462547,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15514189,812460.9184979608,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15628485,35066527.045275964,711,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15754665,735587628.7755315,662,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15754665,9176014302.437948,727,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15754665,903332.4112987744,662,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15754665,10909836.428807965,727,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15804951,6489709181.177747,791,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15804951,3163898132.9843755,804,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15804951,44605651.89817098,791,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15804951,4255108.415697884,804,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15821620,2815633.5927310125,795,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15821620,963279269.6863102,806,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15821620,74445.4901035982,795,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15821620,8885705.86739146,806,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1584238,865892437.5048307,679,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1584238,1753817593.9912148,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1584238,722017.9592427572,679,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,1584238,3099603.844520569,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15924911,689254414.4255497,647,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15924911,1906483.5424194336,647,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15943937,3775163762.838804,658,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15943937,2158159331.5265126,735,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15943937,12057208.189885786,658,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15943937,5607242.032121486,735,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15947627,9314942307.888063,664,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15947627,29515548.23031416,664,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,15949068,401241196.125463,708,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,15949068,143548161.41014707,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,15949068,135304.14086914062,708,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,15949068,21314.59706878662,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1609724,9918160320.473446,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1609724,24568023.86385558,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16196385,556560180.1381301,785,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16196385,581844.7920455933,785,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16343816,2515734088.2711067,792,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,16343816,7449617545.453845,793,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16343816,158413.8862915039,792,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,16343816,2433284.015925957,793,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16428933,416215814.9730797,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,16428933,3315249164.2717705,674,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,16428933,6246069028.063634,692,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16428933,554962.2596798766,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,16428933,18626858.132517677,674,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,16428933,6677308.712451352,692,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16451981,9968318201.124235,689,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16451981,10450230.820697531,689,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16602473,9617522313.49969,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16602473,13552927.647786155,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16619303,2982335796.273243,717,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16619303,5307508.304202599,717,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,16839248,9958570201.98928,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,16839248,10872263.345288744,654,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,17172872,520676559.6132511,651,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,17172872,1620883.5061839384,651,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
