system:index,area,id,stratum,.geo
"90,12_1",8045200.0,6.189147596E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,12_2",636400.0,6.189147596E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,12_3",133600.0,6.189147596E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,12_4",513600.0,6.189147596E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,12_5",800.0,6.189147596E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,12_0",2.2365556E9,3.705471106E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,12_1",5637200.0,3.705471106E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,12_2",396800.0,3.705471106E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,12_3",116800.0,3.705471106E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,12_4",389600.0,3.705471106E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,12_0",2.3401896E9,4.673861233E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,12_1",3024400.0,4.673861233E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,12_2",135600.0,4.673861233E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,12_3",59600.0,4.673861233E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,12_4",59200.0,4.673861233E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,12_0",2.448102E9,9.22351497E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,12_1",2054800.0,9.22351497E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,12_2",32400.0,9.22351497E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,12_3",2000.0,9.22351497E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,12_4",7600.0,9.22351497E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,12_0",2.2134596E9,3.075624527E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,12_1",1020800.0,3.075624527E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,12_0",1.97721E9,5.705225916E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,12_1",1269200.0,5.705225916E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,12_2",27600.0,5.705225916E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,12_3",1600.0,5.705225916E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,12_4",5200.0,5.705225916E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,12_0",2.881492E8,4.094547141E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,12_1",568400.0,4.094547141E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,12_2",42400.0,4.094547141E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,12_3",6800.0,4.094547141E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,12_4",12000.0,4.094547141E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,13_0",1.659232E8,5.0031576E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,13_1",966000.0,5.0031576E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,13_2",127200.0,5.0031576E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,13_3",26000.0,5.0031576E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,13_4",104400.0,5.0031576E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,13_0",1.4202136E9,3.235959811E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,13_1",2.35764E7,3.235959811E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,13_2",1035600.0,3.235959811E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,13_3",562400.0,3.235959811E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,13_4",703600.0,3.235959811E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"87,13_5",4000.0,3.235959811E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,13_0",1.8522492E9,5.655332594E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,13_1",7363600.0,5.655332594E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,13_2",461200.0,5.655332594E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,13_3",138800.0,5.655332594E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"88,13_4",178400.0,5.655332594E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,13_0",2.3854192E9,7.621697558E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,13_1",3032800.0,7.621697558E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,13_2",487600.0,7.621697558E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,13_3",94000.0,7.621697558E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,13_4",233200.0,7.621697558E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"89,13_5",1200.0,7.621697558E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,13_0",2.3866304E9,5.034508346E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,13_1",9200.0,5.034508346E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,13_0",2.3145784E9,4.351920387E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,13_1",1991200.0,4.351920387E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,13_2",8000.0,4.351920387E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,13_3",400.0,4.351920387E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,13_4",800.0,4.351920387E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,13_0",2.420184E9,7.319745781E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,13_1",1236800.0,7.319745781E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,13_2",8800.0,7.319745781E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,13_3",400.0,7.319745781E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,13_0",2.459832E9,5.492613527E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,13_1",1626800.0,5.492613527E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,13_2",4800.0,5.492613527E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,13_3",3200.0,5.492613527E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,13_0",1.8452764E9,9.58674416E8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,13_1",3889600.0,9.58674416E8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,13_2",98800.0,9.58674416E8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,13_3",20400.0,9.58674416E8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"94,13_4",54800.0,9.58674416E8,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,13_0",1.3538112E9,7.016378555E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,13_1",1053200.0,7.016378555E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,13_2",9200.0,7.016378555E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"95,13_3",5200.0,7.016378555E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"96,13_0",3200.0,4.229777096E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"50,14_0",3.60728E7,4.465251586E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"50,14_1",10800.0,4.465251586E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"51,14_0",8.826832E8,6.294423211E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"51,14_1",4158000.0,6.294423211E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"51,14_2",118000.0,6.294423211E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"51,14_3",43600.0,6.294423211E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"51,14_4",41600.0,6.294423211E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"52,14_0",1.1601628E9,3.385046606E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"52,14_1",196400.0,3.385046606E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"52,14_2",1.959E7,3.385046606E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"52,14_3",800.0,3.385046606E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"52,14_4",4185600.0,3.385046606E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"53,14_0",3599200.0,2.890878209E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"53,14_1",400.0,2.890878209E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"85,14_0",2.593052E8,2.854089397E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"85,14_1",5266000.0,2.854089397E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"85,14_2",344800.0,2.854089397E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"85,14_3",162400.0,2.854089397E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"85,14_4",174800.0,2.854089397E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"85,14_5",3600.0,2.854089397E9,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,14_0",1.2216232E9,9.583885265E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"86,14_1",8509200.0,9.583885265E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
