system.index,CellCode,PLOTID,stratum,.geo,country,geometry
000000000000000023a3_0,1609724,a7-21669876742681_47-60016084949211,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(7.21669876742681, 47.6001608494921)"
00000000000000000ff6_0,25275613,a0-0433117763905_49-24106780544506,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.0433117763905, 49.2410678054451)"
0000000000000000268b_0,48866534,a7-4516923703538_48-69991995476252,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(7.4516923703538, 48.6999199547625)"
000000000000000025bb_0,62482336,a1-28047494988537_45-84990815475955,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(1.28047494988537, 45.8499081547595)"
00000000000000001701_0,63957442,a2-74499788955567_48-1377920358674,crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(2.74499788955567, 48.1377920358674)"
00000000000000001875_0,64760445,a5-02110000028385_44-10815673856528,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.02110000028385, 44.1081567385653)"
000000000000000022db_0,93272735,a5-92426141724894_47-24486838745882,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(5.92426141724894, 47.2448683874588)"
000000000000000001da_0,95126845,a-0-27242280754273_43-80525111879764,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-0.27242280754273, 43.8052511187976)"
00000000000000001b55_0,97335613,a-3-78412369105157_47-81165850968222,buffer crop/built stable,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(-3.78412369105157, 47.8116585096822)"
00000000000000001d3a_0,41196189,a6-71128859853202_48-33259451367049,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(6.71128859853202, 48.3325945136705)"
000000000000000016e4_0,41271191,a0-48361169068652_44-83659897713466,nature loss,"{""type"":""MultiPoint"",""coordinates"":[]}",FRA,"c(0.48361169068652, 44.8365989771347)"
