PLOTID,country,m,r
a-21-96993479188319_65-50325025649721,ISL,buffer nature stable,buffer nature stable
a-19-82016766783219_64-16843542452627,ISL,buffer nature stable,buffer nature stable
a-21-69221894104452_64-19677556684012,ISL,buffer nature stable,buffer nature stable
a-21-99593726847107_64-0376122794041,ISL,buffer nature stable,buffer nature stable
a-21-63281794313325_64-18569592569196,ISL,buffer nature stable,buffer nature stable
a-21-81531646275781_64-23583337950525,ISL,buffer nature stable,buffer crop/built stable
a-18-20667845950751_65-79652899470398,ISL,buffer nature stable,buffer nature stable
a-14-40876973052517_65-27349460839018,ISL,buffer nature stable,buffer crop/built stable
a-17-34093985459769_65-83620077253596,ISL,buffer nature stable,buffer nature stable
a-21-40041189923514_64-04349479971383,ISL,buffer nature stable,nature loss
a-20-48433216534176_63-90883474054544,ISL,buffer nature stable,buffer nature stable
a-20-65082014954091_63-9587977043364,ISL,buffer nature stable,buffer nature stable
a-16-67842558066004_64-5013270940053,ISL,buffer nature stable,buffer nature stable
a-17-06119182570572_64-0667548883334,ISL,buffer nature stable,buffer nature stable
a-16-99211670174123_64-0746469445541,ISL,buffer nature stable,buffer nature stable
a-17-66977899673569_64-09924849327196,ISL,buffer nature stable,buffer nature stable
a-22-1090743451883_66-26090783604201,ISL,buffer nature stable,buffer nature stable
a-22-09350571657816_66-2336534987409,ISL,buffer nature stable,buffer nature stable
a-22-23011989701631_66-25041067174456,ISL,buffer nature stable,buffer nature stable
a-22-07709919191673_66-23438671107647,ISL,buffer nature stable,buffer nature stable
a-22-23572560671613_66-32469546975086,ISL,buffer nature stable,buffer nature stable
a-22-18997687189253_66-23387263328469,ISL,buffer nature stable,buffer nature stable
a-22-27265310274454_66-25632896485392,ISL,buffer nature stable,buffer nature stable
a-22-109710362817_66-22871162151084,ISL,buffer nature stable,buffer nature stable
a-22-109204547595_66-22446602104036,ISL,buffer nature stable,buffer nature stable
a-22-27821776870757_66-24880056507386,ISL,buffer nature stable,buffer nature stable
a-22-10025758218689_66-25705004115062,ISL,buffer nature stable,buffer nature stable
a-22-21898308614951_66-25867662521496,ISL,buffer nature stable,buffer nature stable
a-22-12083327089916_66-22005607557284,ISL,buffer nature stable,buffer nature stable
a-22-10718847866284_66-27060092122119,ISL,buffer nature stable,buffer nature stable
a-22-38062027665611_65-99439608941098,ISL,buffer nature stable,buffer nature stable
a-22-08483471034051_66-24817389642578,ISL,buffer nature stable,buffer nature stable
a-22-1568835824473_66-25099780141629,ISL,buffer nature stable,buffer nature stable
a-22-12343723061198_66-23044652242065,ISL,buffer nature stable,buffer nature stable
a-22-05995155231507_66-23901114847077,ISL,buffer nature stable,buffer nature stable
a-14-58310987058724_65-02654643503948,ISL,buffer nature stable,buffer nature stable
a-14-87619383726795_64-45831728781658,ISL,buffer nature stable,buffer nature stable
a-22-59265487892751_63-96135316616152,ISL,buffer crop/built stable,buffer crop/built stable
a-22-57246042265393_63-97787602971143,ISL,buffer crop/built stable,buffer crop/built stable
a-22-49588754736075_63-97543022852636,ISL,buffer crop/built stable,buffer crop/built stable
a-22-5769663218015_63-96164003213952,ISL,buffer crop/built stable,buffer crop/built stable
a-22-62208912161724_63-9964175127148,ISL,buffer crop/built stable,cropland loss
a-22-62091634169231_63-99678115809201,ISL,buffer crop/built stable,buffer crop/built stable
a-22-62577236912288_63-99952683878067,ISL,buffer crop/built stable,buffer nature stable
a-22-6228488728934_63-99665082695003,ISL,buffer crop/built stable,buffer crop/built stable
a-22-57700307690815_63-9677832636402,ISL,buffer crop/built stable,buffer crop/built stable
a-22-57680372005978_63-97670230803517,ISL,buffer crop/built stable,buffer crop/built stable
a-22-56155502342815_63-96307318610472,ISL,buffer crop/built stable,buffer nature stable
a-22-55106205686855_63-99234214879041,ISL,buffer crop/built stable,buffer crop/built stable
a-23-88001128687159_64-9152415983342,ISL,buffer crop/built stable,buffer nature stable
a-21-62691223638212_65-1280886659129,ISL,buffer crop/built stable,buffer crop/built stable
a-20-94337139162228_65-40281687417657,ISL,buffer crop/built stable,buffer nature stable
a-20-22491964079518_64-28352265362793,ISL,buffer crop/built stable,buffer nature stable
a-21-78189180600645_64-12164526612472,ISL,buffer crop/built stable,buffer crop/built stable
a-21-93895703170951_64-13572314323551,ISL,buffer crop/built stable,buffer crop/built stable
a-21-91460771752356_64-07806484797595,ISL,buffer crop/built stable,buffer crop/built stable
a-21-81199373483031_64-09204552315491,ISL,buffer crop/built stable,buffer crop/built stable
a-21-92775165104053_64-0761039408098,ISL,buffer crop/built stable,nature loss
a-21-90126755712042_64-55974681155939,ISL,buffer crop/built stable,buffer crop/built stable
a-21-95064281958012_64-14141475208169,ISL,buffer crop/built stable,nature loss
a-21-95085994491205_64-0441512564573,ISL,buffer crop/built stable,buffer crop/built stable
a-21-90842700271628_64-39800533211876,ISL,buffer crop/built stable,buffer nature stable
a-21-76763619981167_64-55882239961144,ISL,buffer crop/built stable,buffer crop/built stable
a-18-17055657412248_65-66885697629172,ISL,buffer crop/built stable,buffer crop/built stable
a-18-20487539273247_65-74412245778595,ISL,buffer crop/built stable,buffer nature stable
a-19-63005406396645_65-74082558630198,ISL,buffer crop/built stable,buffer crop/built stable
a-18-17731134195192_65-95192870024572,ISL,buffer crop/built stable,buffer nature stable
a-14-01123077824134_65-26424532407066,ISL,buffer crop/built stable,buffer crop/built stable
