stratum,area,prop,se,pa,ua,seUa,sePa,oa,ciArea,f1,takeType,country,area_mapped
nature loss,75.66060860725533,9.689835570900132e-4,14.052918193814744,0.5999107575618382,0.3111111111111111,0.06979205927323111,0.09378968031022766,0.838084523831246,27.543213537564558,0.40973528467421233,separate,CZE,145.8951847301838
nature stable,42303.70534904133,0.5417825159190046,2497.3548346265006,0.9369866834095781,0.8024691358024691,0.044512978709431966,0.02643329700956849,0.838084523831246,4894.725532484923,0.8645265787028831,separate,CZE,49613.23313488015
crop/built stable,193697.33680690732,0.5494844623404065,10687.740398736909,0.6839214418737758,0.9552238805970149,0.025456801952908715,0.03608168627555295,0.8065530549986866,20947.586257638093,0.7971204075370389,merged,DEU,139150.71672290046
land take,726.9328460475625,0.00206217757380019,58.149143375437035,0.7266588853598437,0.711340206185567,0.046248346507542164,0.048651397750289795,0.8065530549986866,113.97022674771242,0.7189179525599473,merged,DEU,742.5873120161873
nature stable,158083.12606465418,0.44845336008579334,10687.73798921878,0.9571794700975995,0.7142857142857143,0.047619047619047616,0.021553980243043388,0.8065530549986866,20947.58153506934,0.8180841909076747,merged,DEU,212614.09168269235
crop/built stable,193692.15244794235,0.5494697552476534,10687.737980678703,0.6839397476967722,0.9552238805970149,0.025456801952908715,0.03608353100188595,0.8061300238644986,20947.5815183311,0.7971328409348531,separate,DEU,139150.71672290046
cropland loss,356.1423879569448,0.001010311818371742,45.0013772354063,0.4411081753620299,0.6578947368421053,0.07799328662681831,0.05855557344405902,0.8061300238644986,88.201078636097,0.5281200690663865,separate,DEU,238.78792475956138
nature loss,366.35004301298505,0.0010392690975098442,52.04053699945398,0.6060140937165414,0.4406779661016949,0.06518949781798847,0.07554234040920561,0.8061300238644986,101.9975782550539,0.5102877312250621,separate,DEU,503.79938725662595
nature stable,158092.75083869678,0.44848066383646507,10687.74162138738,0.9571211964824651,0.7142857142857143,0.047619047619047616,0.021551914722427234,0.8061300238644986,20947.588653988983,0.8180629062653157,separate,DEU,212614.09168269235
crop/built stable,28189.90430671725,0.6674338561918621,1434.1782862460566,0.7569047969946016,0.9242424242424242,0.03282081081661708,0.03334159401644559,0.7935546175571331,2810.9377884516466,0.832245404397428,merged,DNK,23159.39901543257
land take,99.46143900583506,0.0023548831899453397,10.713589704853671,0.6476992527906976,0.5301204819277109,0.05511548370029597,0.05939682820755273,0.7935546175571331,20.9982499666523,0.5830410714177965,merged,DNK,121.52161993686485
nature stable,13946.885899584091,0.33021126061819256,1434.174110756643,0.8686725992001715,0.6428571428571429,0.06460957383809221,0.048570460162602636,0.7935546175571331,2810.9296046427785,0.7388969858311072,merged,DNK,18955.331009937738
crop/built stable,28188.829236880585,0.6674084024691764,1434.1786200369913,0.7569336639443297,0.9242424242424242,0.03282081081661708,0.03334394670759421,0.7931092828820614,2810.938442669857,0.8322628539276411,separate,DNK,23159.39901543257
cropland loss,57.723875986808814,0.0013666903131358357,8.431656138583914,0.4386476881581231,0.6,0.07844645405527362,0.06714835574340039,0.7931092828820614,16.525742361650533,0.5067909280414364,separate,DNK,42.20074125523314
nature loss,37.95103385981136,8.985417119520374e-4,8.231586573797841,0.5346728535690174,0.2558139534883721,0.06732528971681358,0.10989124268051548,0.7931092828820614,16.13361322026723,0.34605707590125484,separate,DNK,79.32087868163171
